word,size,eg,counter_eg,note
new,98,"I visited a new restaurant near my home and it was excellent.
I bought a new oil which reduced my hair loss and it makes me happy
I went out to a new restaurant and it made me really happy because it was nice.
I heard my new favorite song on the radio on the drive to work.
I went to one of my favorite taco restaurants and ordered a new burrito on their menu.
I was happy when my new bookcase was delivered to me.
I bought a new jewellery which made me happy
We recently went out to eat at a new restaurant that served huge portions.
I had a good experience at a new restaurant.
I heard a new album that is now one of my favorite albums of all time!","Gifted my sister a new phone.|affection
I got the case for my new phone that i ordered two days back via Amazon. It is a beautiful case.|achievement
I got new guitar strings that my guitar desperately needed|achievement
I reserved a new puppy who will come to live with me in a month.|affection
I got a new character in a game that I was playing that I needed.|achievement",'new' is the top 11 frequently used word for enjoy_the_moment
really,85,"Eatting a really good meal
I got a haircut that I really liked.
I ate lentil salad for dinner tonight and it was really yummy.
i had a really good turking day
I  went to target and my favorite brand of clothing was having a really big sale!
I had a really good burrito for breakfast again today.
I was able to get a really good night's sleep.  I feel refreshed.
I saw a really nice car on my way home, which is rare in my town.
I got a case of Cherry Dr. Pepper and have really enjoyed drinking them.
I have got a amazon gift voucher. I am really happy and looking forward to shop something on amazon","When I bought a new game I really wanted.|leisure
I got a really good deal on someone to cut downs trees from my yard.|achievement
my friend did an impression today of someone we hate from work and it was really funny.|bonding
My husband bought my favourite sweet that really made me very happy|affection
I met my friends new girlfriend that he seemed to be really happy about, which made me happy.|bonding",'really' is the top 12 frequently used word for enjoy_the_moment
went,82,"I had great sex before I went to sleep last night.
WENT TO A SMALL HOLIDAY TO A DESTINATION AND IT WAS RELAXING FROM DAILY ROUTINE.
I went out to lunch and got top sirloin, sweet potato, and broccoli.
I went to In n Out after work and I was starving. The double double tasted so good
We recently went out to eat at a new restaurant that served huge portions.
I went out to a new restaurant and it made me really happy because it was nice.
i was very happy when i went on the tour to out of my country.
went to my favourite concert yesterday
I went to hospital for a full body check up and all the results were good and i am happy for that.
I went to my favorite restaurant.","I went to an escape room with friends.|bonding
I went out to lunch with my friends whom I was visiting.|bonding
We will went for a Tour with my Family|affection
I went out to my favorite restaurant.|leisure
same i went to my friends home and take a food with them. so happy moments in life|bonding",'went' is the top 13 frequently used word for enjoy_the_moment
one,81,"I was happy when the local radio station played one of my favorite old-school rap songs.
Discovered one of my old favorite TV shows will be returning to TV.
An event that made me happy yesterday was the ending to a season of one of my favorite shows.
I celebrated one year of sobriety a few days ago.
One event that made me happy was when I gave my lunch to a homeless man in need.
I enjoyed one more piece of birthday cake.
An event that made me happy was when I found out one of my class got cancelled.
Had dinner at one of my favorite restaurants.
Lunch made me happy. I ate one my favorite foods: Trout with a homemade yogurt sauce.
I was watching an episode of crashing and I had a good laugh at one of the jokes on the episode.","I finished reading one of my favorite books|achievement
I went on a hike, one I knew to be hard and was able to finish it without stopping.|achievement
I finally bought an instant pot after wanting one for a couple years.|achievement
My boyfriend came home from work with one of our favorite pizzas.|affection
I participate one of my old friend's wedding ceremony and met some old friends.|bonding",'one' is the top 14 frequently used word for enjoy_the_moment
life,79,"Sitting down to reflect on past happy moments in my life for a mturk hit.
MY HAPPY MOMENT OF THIS LIFE ,BECAUSE YESTERDAY I AM GOING TO MADURAI
i am very happy life in college days
I had some of the best sushi I've ever had in my life.
to day i am helped to poor peoples .that is happy movement in my life.
the 24 hours is very enjoy and happy life.
Being pregnant is supposed to be the happiest time in your life.
the 24 hours happy of the moments in the life.
very happy to life to enjoy the   life to contain the result
Writing what makes me happy has forced me to focus on the better aspect of my life.","I have build a small house in our life. this month book the house builder.|achievement
I saw the love of my life and he was smiling.|affection
I MEEAT MY LOVER IN FIRST THAT DAY IS VERY HAPPY IN  LIFE|affection
A Japanese Maple in my back yard that I thought had died over the winter is showing signs of life.|nature
I MET MY GRAND PARENTS IN BE LATERAL FEW YEARS. I REALLY ENJOYED THIS MOMENT IN MY LIFE.|affection",'life' is the top 15 frequently used word for enjoy_the_moment
dinner,76,"I got to have pizza for dinner.
I ate my favorite food for dinner, ribs.
I was very happy on my birthday when everyone surprised me at a surprise dinner.
Evening played in beach and went for dinner night time.in forgettable moments
i went to my favorite place for dinner.
I had a really delicious Vietnamese and Chinese dinner.
I ate dumplings for dinner and they were delicious!
I had a great dinner of steak and potatoes
I was happy not to have to cook dinner.
Ate a delicious dinner last night.","I felt happy last Sunday because my significant other made my favorite dinner.|affection
I made myself a tasty dinner last night.|leisure
I went to dinner with my friends.|bonding
I had a really good dinner tonight.|leisure
Seeing my friend for dinner after not seeing her for a month.|bonding",'dinner' is the top 16 frequently used word for enjoy_the_moment
found,76,"Found a movie that I wanted to see uploaded to YouTube.
Yesterday, I found a nostalgic and tasty pastry I used to eat in my home country.
An event that made me happy was when I found out one of my class got cancelled.
I found $5 on the road.
I found out I had more money than I thought and was so excited.
I found a new show that I like and binge watched it.
I found a lost piece of jewlery.
I found a very cute chibi picture of Cho'Gall, my favorite character from Heroes of the Storm.
I found 20 dollars in my coat pocket.
I found my favorite ice cream at the store, and it's hard to find.","I found out that I will be an uncle!|affection
I haven't been feeling well.  I was so happy I found the time to take a nap today.|leisure
Found out that my child received a fully paid internship for the summer.|affection
I found out that my friends son was accepted into the advanced class for this upcoming school year.|achievement
I found out that my best friend is pregnant.|bonding",'found' is the top 17 frequently used word for enjoy_the_moment
moment,69,"MY COLLEGE LIFE IS VERY ENJOYMENT AND THE FUNNIEST MOMENT IN OUR LIFE
yesterday night i reached to home after tripping for australia very nice moment this day
In Bullet bike I gone for a long drive and that moment make me feel happy.
i go to old age home and service enjoy the moment
I AM TRAVEL IN MOUNTS THIS LAST MONTH ...VERY HAPPY MOMENT
i go to old age home and service enjoy the moment.
When i reach my goals that moment will be the happiest moment in my life..
MY HAPPINESS MOMENT YESTERDAY,BECAUSE I WAS  ATTENDED MY RELATIVE FUNCTION. I LIKE THIS DURATION.
MY HAPPY MOMENT OF THIS LIFE ,BECAUSE YESTERDAY I AM GOING TO MADURAI
EVERY TIME IS OUR HAPPIEST MOMENT.V CAN'T DEFINE OUR ALL HAPPIEST MOMENT.","I WENT TO EGGO PARK WITH FAMILY AND FAMILY FRIENDS THAT'S MY HAPPIEST MOMENT.|affection
My happy moment in the past 24 hours is my in-laws has come back home from their trip.|affection
Getting the new job that I really wanted was my favorite moment.|achievement
My happiest moment everyday my mom say to me when  I get ready to go somewhere|affection
the long time ago i was meet my best friend. i was so happy that moment|bonding",'moment' is the top 18 frequently used word for enjoy_the_moment
morning,68,"I was happy to see that my morning meeting was cancelled today.
I woke up this morning feeling refreshed and energetic, having enjoyed a full night's sleep.
I woke up feeling well rested this morning.
The coffee I ordered this morning was exceptionally good.
The first cup of french pressed coffee I had this morning.
When I climbed out of my morning shower, I had a fresh clean towel waiting for me.
Drank my favorite coffee (Chameleon Cold Brew-Vanilla) this morning.
Yesterday Morning I met with an accident but i didn't got any hurt.That made me feel happy.
I was very happy when I woke up this morning without having my alarm clock set. It is Saturday.
I had watermelon for breakfast this morning.","Early this morning, my cat crawled into bed with me and my boyfriend to cuddle.|affection
My boyfriend wished me a good morning with a longer than usual message.|affection
I woke up this morning to birds chirping.|nature
I was happy when my husband cooked a tasty breakfast for me this morning.|affection
This morning my husband woke up happy and playful, which always makes me happy.|affection",'morning' is the top 19 frequently used word for enjoy_the_moment
last,68,"Watching the movie Sing! last night made me very happy.
I took a short trip to my favorite bakery last night, and bought myself fresh cinnamon rolls.
Last month I took my first road trip on my motorcycle. I was super excited and very happy.
When I left work last night, I was happy to be heading home.
I bought beer last night that was delicious.
One thing that made me happy in the last 24 hours was taking a nice hot shower.
I bought a new pair of cute and comfortable shoes last week.
When I drank a milkshake last night.
Last night, I got a great night sleep, and woke up feeling even more refreshed than I did Saturday.
Catching up with my recorded Voice shows last night made me happy.","Having anal sex with my girlfriend last night.|affection
I got to enjoy last weekend with my kids|affection
I was happy when I baked a carrot cake last week for my girlfriend.|affection
Last night I was able to walk a mile with little to no fatigue.|exercise
Last night I was able to hang out with a small group of friends and feel accepted.|bonding",'last' is the top 20 frequently used word for enjoy_the_moment
