word,size,eg,counter_eg,note
new,112,"I toured the local area  on my motorcycle with a friend and new rider.
I joined a new social media platform and made some new friends.
I got to meet new friends!
I helped my friend put the finishing touches on his new ice cream parlor.
I stepped out of my comfort zone and made a new friend.
Today at work we were treated to pizza for lunch by new clients.
I went to see a new movie with some friends.
I made  a few new female friends.
I made a new friend and we connected on our love of music and artistic styles.
I played with my friend's new puppy.","I buy a new plant|achievement
Started a new job today and it went well.|achievement
I hit a new PR on shoulders at the gym.|exercise
Finally got some new glasses that look really well|achievement
my family got a new puppy|affection",'new' is the top 11 frequently used word for bonding
last,107,"Last night my  friend GEORGE gift me gold chain on my birthday occasion its happiest event for me.
Last Saturday, I went to a local punk show with many of my friends in attendance.
I celebrated my birthday with a few of my friends at the local bar last evening.
Hanging out with friends all day last Saturday made me really happy as well.
My friend Liz came over to hang out last night, and brought her playstation for me to borrow.
meeting old friend last sunday
I went to a trip with my friends last month. We enjoyed to the core. It made me really so happy.
Last week, my best friend invited me out for coffee during the week.
I reunited with a close friend for dinner and drinks last week.
I went out to a sushi dinner last night with my boyfriend and best friend.","An event that made me happy in the last 3 months was seeing my sister have her baby.|affection
I've lost 10 pounds in the last week!|achievement
I GONE JOLLY TRIP WITH MY COUSIN THE LAST WEEK.THAT MOVEMENT MAKE ME A HAPPY|affection
Last night my daughter had solid food for the first time.|affection
I mailed the last check on our house payoff for $843.|achievement",'last' is the top 12 frequently used word for bonding
met,102,"I met with my college friends and enjoyed a lot.
I met a close friend for coffee.
i met my friends at a movie theater.
I met my good friends for a taco night.
I met a new co-worker and found out we have a lot in common, and became fast friends.
I met up with some old friends and had a good catch up.
I met up some friends for dinner and chitchat.
I met someone
I met with my old freinds at village and old people after a long time.
I met an old friend after many years and spend a good time together and I was happy.","I met a new girlfriend and we have been spending lots of time together.|affection
Yesterday Morning I met with an accident but i didn't got any hurt.That made me feel happy.|enjoy_the_moment
Today, I met with my crush after long time and I am very happy now.|affection
I was happy when I met my girlfriend in Ecuador.|affection
I met a new girlfriend.|affection",'met' is the top 13 frequently used word for bonding
day,99,"My roommates and I went to a bonfire and spent the day together.
that day i spent more time with my friends and we conducted a party.
I was in a Skype conversation with my friends for half of the day, and we were all gaming together.
The day an old friend visited from out of town.
About to head out to go hang out with friends for a day
A family friend and I spent the day in his workshop working on carpentry and discussing techniques.
I was very happy to receive a Mothers Day card from a very good friend.
Saw my girlfriend after a long day of work.
I had the day off from work so I got to hang out with my friends.
While in office I and my colleagues cracked jokes on each other. I felt happy one day where I LOL.","I had a pretty breezy day at work and I'm currently relaxing some|enjoy_the_moment
The day my brother spoke to me after a long period|affection
I took a half day at work and was able to catch up on sleep and did not much too much.|leisure
We got a huge snowstorm last night and all day today.|nature
My favorite TV show (Rick and Morty) had a surprise debut on April Fool's Day.|leisure",'day' is the top 14 frequently used word for bonding
birthday,97,"I was reminded of a friend's upcoming birthday.
I went in a birthday party of my friend and enjoyed a lot.
I celebrated a birthday with a group of friends.
ENJOY THE FRIENDS BIRTHDAY PARTY ON MY FAVOURITE CLUB
MY BIRTHDAY PARTY CELEBRATED WITH MY FRIENDS
I celebrated my birthday with nineteen of my closest friends.
I grabbed a drink after work with a friend for her birthday, unplanned in advanced.
I went to my friend's birthday celebration and had a great time catching up with him.
MY FRIEND BIRTHDAY PARTY
Celebrating my friends birthday party, knowing that he is one of my best friends.","I called my mother to wish her a happy birthday.|affection
I was happy the day my daughter celebrated her second birthday.|affection
Going out to a good chinese restaurant to celebrate my dad's birthday in March.|affection
I threw my girlfriend a surprise birthday party on March 28th|affection
My girlfriend gave me a guitar for my birthday.|affection",'birthday' is the top 15 frequently used word for bonding
one,90,"This morning I got a good morning text from one of my close friends.
Finding out that one of my friends was extremely please with the house I booked for vacation.
I was given a free Starbucks drink by one of the workers who I have become semi-friends with.
On my birthday my old friend one who doesn't talked with me for last 1 year, spoke with me.
I met one of my old friend and talk many matters.
One of my friend shared me a funny animal video.
Today i mate one of my best friend
I received a dark chocolate bar from one of my friends.
One of my best friends got married.
I and my friend go to 5 days trips and it is very enjoyable one.","Some extended family came for lunch one day last week.|affection
I made a 97 on one of my tests in Solid Mechanics class.|achievement
I paid off one of my credit cards!|achievement
Found one of my favorite foods in the grocery store that's always out of stock.|achievement
One thing that made me happy is talking with my girlfriend. She is a high point in my day everyday.|affection",'one' is the top 16 frequently used word for bonding
really,85,"I watched my friend sing karaoke and it was really good.
Someone was really kind and bought me ice cream today.
Went to reunion, meeting old friends and cracking those age old jokes were really fun.
A friend of mine won a public office position she was really hoping she'd get.
I just cooked dinner for a friend of mine and she really liked it (still over)
A friend of mine got hired for a new job that she really wanted.
I went to a trip with my friends last month. We enjoyed to the core. It made me really so happy.
I have been keeping in touch with my friends more.  I feel so good.  I am really happy.
Having a really good dinner with two friends last night. The food was great.
I had a really long talk with a friend I haven't seen in a very long time.","Colorado Rockies have been playing really good baseball this year.|leisure
MY MOM'S BIRTHDAY CELEBRATION IN MY HOME SO I REALLY ENJOYED AT THE MOMENT|affection
I found an apartment I really liked, and got accepted to take it.|achievement
Saw the finale for Arrow. That was really exciting.|leisure
My daughter said she had a really good day and a lot of fun at softball camp.|affection",'really' is the top 17 frequently used word for bonding
see,83,"Today I see one of my old friend and remembers some old days events.
I was able to go see a friend, we flew our drones.
My best friend's one year old daughter started walking and I got to see it for the first time.
Getting to see a friend's new pet.
I watched a movie with friends that I wanted to see.
My best friend went into labor and I got to see her new baby girl!
It made me happy to see the little girl that I babysit, as we had not seen her in several months.
I made plans to see friends this weekend.
I took a weekend trip to NC to see friends and tour a new city.
I got to see my friend before she left to study abroad.","My girlfriend and I went to go see Logan. It was everything I was hoping it to be in a movie.|affection
I went to my nephews 2nd birthday party and got to see my other nephew, niece and family.|affection
I got to see a few of my wedding pictures today and they looked absolutely incredible!|enjoy_the_moment
Getting to see my niece this Easter and seeing how people reacted to meeting her the first time.|affection
I went to see a movie today|leisure",'see' is the top 18 frequently used word for bonding
long,82,"I met with my old freinds at village and old people after a long time.
I met one of my best friend after long 20 years.
I was very happy to see my friends after a long time. We met almost after a gap of 10 years.
when I spoke to my school friend after a long time, discussing our school days.
I helped my co-worker ,she has to make a long report and I helped her to make them fast.
I heard from a friend who I had been waiting to hear from for a long time.
I received a long, thoughtful email letter from my high school friend Mel.
I spoke on the phone with a friend that I hadn't spoken to in a long time.
I had a really long talk with a friend I haven't seen in a very long time.
YESTERDAY I SAW MY CHILDHOOD FRIEND AFTER A LONG TIME.SO I WAS SO HAPPY AND WE ENJOYED A LOT.","Getting a big long happy hug from my two-year old grandson.|affection
Shared a video game with a cousin. It was a long time before we were that close.|affection
I finally bought a car that I liked for a long time.|achievement
I finished a game I had been playing for a long time.|leisure
After a long time our leaking tap got repaired I am happy, I can save water now.|achievement",'long' is the top 19 frequently used word for bonding
party,82,"I went to a friends party for Saturday and we just had a great time having fun.
Yesterday night there was a birthday party of my friend, we enjoyed it much.
Had a dinner party last night with all members of office.
I celebrated my friend's birthday party.
ENJOY THE FRIENDS BIRTHDAY PARTY ON MY FAVOURITE CLUB
MY  BEST FRIEND MARRIAGE PARTY
MY BEST FRIEND MARRIAGE PARTY
The Day I went to The Party with my Friends.
I celebrated a friends birthday party.
I WENT TO MY BEST FRIEND'S BIRTHDAY PARTY","My family having a big birthday party for me.|affection
Today my birthday we all arranged grand party in mall we enjoying a lot here|enjoy_the_moment
My son turned two and we held a small party, he enjoyed it and the gifts we got him very much.|affection
My son turned 1 years old and we had a party.|affection
My wife and I hosted our daughter's second birthday party and my dad's house.|affection",'party' is the top 20 frequently used word for bonding
