word,size,eg,counter_eg,note
sun,21,"Going out and feeling sun on my skin felt great.
I took a walk in the park early this morning and watched the sun rise over the river.
The sun is so hot today, it's like summer, and it gives me an extra boost of happy energy.
I went to a wedding and it was rainy all day, except the sun came out for the ceremony
The day started off rainy and then the sun came out this afternoon.
Sitting at the picnic bench outside with the sun pouring onto my face made me happy.
I sat outside in my backyard and enjoyed the greenery and the sun that shone down on my face.
The sun broke through today after a few days of rain.
The sun was shining for the first time in a long time.","I was happy when I sat outside in the sun with my boyfriend, and took a nap.|affection
I got to sit outside in the sun and read a book.|leisure
I went on a very long walk with my dogs in the pleasant sun.|affection
Enjoying dinner on our patio in the sun for the first time this season.|enjoy_the_moment
I drank a nice cold refreshing glass of Crush orange soda after working all day outside in the sun.|achievement",'sun' is the top 11 frequently used word for nature
finally,19,"I found some plants that I really like and can now finally landscape the rest of my front yard
Spring finally came and winter was over. It is beautiful and green, instead of dark and sad.
Being able to finally sit outside without heavy cold winds and enjoy the sunshine
I was happy when spring finally arrived and I was able to plant my garden.
The wind finally quit blowing.
It finally stopped raining after a week.
The snow finally melted off the road to my house.
It has rained the last couple of days, and I just noticed my flower seeds are finally coming up!","I finally bought some good-fitting running shoes.|achievement
I sold something off ebay. I am finally able to get rid of garbage and get some money for it.|achievement
Finally got a really good job.|achievement
I finally got paid for a big project I did recently!|achievement
I finally got an electric guitar and a bass.|achievement",'finally' is the top 12 frequently used word for nature
walk,19,"Went fir a walk with my dog. The weather was perfect and it was so nice to be outside.
Seeing how nice the weather was today and going for a walk
I took a walk and listened to birds, realizing spring is here.
It was 70 degrees out the other day, and it felt amazing to go for a walk in the park.
I enjoyed the walk long around the neighborhood last night and looked at the night sky.
The rain stopped last night and I could go for a walk without getting wet.
I saw a Loon as I was taking my afternoon walk along the Wisconsin River.
I was able to take a walk at a nice park. It was a nice day as well for the walk.
Went for a walk around the lake on what turned out to be a beautiful day.
On one of the first beautiful days of the season I went on a nature walk at my favorite preserve.","Going for a walk with my wife|affection
I felt very happy the day I was able to walk 1 mile on my treadmill.|achievement
I took a long walk with a good friend in a nice park with great weather.|bonding
I had a nice walk this afternoon with my wife, son and daughter.|affection
I went for a nice walk tonight with my dogs and my sister.|affection",'walk' is the top 13 frequently used word for nature
rain,19,"When rain came in summer.
Getting enough break in the rain to bug spray.
The rain in the city on my commute to school was very nice and refreshing.
The rain stopped last night and I could go for a walk without getting wet.
The fact that it didn't rain.
The rain, and the cooler weather it brought about.
My dog got to play outside in the rain.
I saw a full colorful rainbow at sky after rain.
The sun broke through today after a few days of rain.
There was a sudden shower of rain in our area.","i thought the dog was sick but he was not he was scared because of the rain thank goodness|affection
Playing football outside in the rain with children in the neighbourhood.|bonding
My brother in law came out in the rain to help us put a tarp on the house.|affection
My cat came in from the rain and let me dry her wet fur with a towel.|affection
Looking at the rain from my living room window makes me happy.|enjoy_the_moment",'rain' is the top 14 frequently used word for nature
garden,18,"I had time this weekend to plant my garden in my backyard.
IN THE GARDEN I SAW A ROSE.
I planted seeds in my garden to grow veggies.
I picked the first mint and radishes of the year from my garden.
My garden is in full bloom and I have added new plants to it.
I was happy when spring finally arrived and I was able to plant my garden.
This morning I took yet another trip to the garden center for plants that will go in my garden.
We planted our garden and it's bigger than ever this year.","I used an ice chopper to edge my wife's flower garden, doesn't sound like much but it worked great.|achievement
I spent time outside working in the garden with my family.|affection
enjoy a lot a park and garden with children|affection
I was given flowers to plant in my garden.|leisure
I helped my father plant tomatoes and pepper in the garden and watered the garden afterwards.|affection",'garden' is the top 15 frequently used word for nature
spring,18,"The weather was perfect for an early Spring day and I enjoyed being outside for awhile.
Spring finally came and winter was over. It is beautiful and green, instead of dark and sad.
I was very happy when it stopped snowing and raining and the seasons changed into Spring.
The arrival of Spring time creates such an awesome and wonderful weather in the valley.
Experiencing warmer spring weather during the past few weeks.
Went hiking in March, was a great way to clear my head and enjoy the upcoming spring weather.
The weather turned milder and it felt like spring!
I took a walk and listened to birds, realizing spring is here.
Seeing the first robin of Spring made me smile.
I was happy when spring finally arrived and I was able to plant my garden.","I finished 1/2 of my ""Spring Cleaning""|achievement
It's almost spring break, which means my husband is going to be home for a whole week!|affection
-I took a week long trip to Amsterdam with my girlfriend for spring break.|affection
Planted a ton of grass seed earlier this spring and now have a full, lush, dark green lawn.|achievement
I spent a few hours with my family doing yard work on our first beautiful day of Spring.|affection",'spring' is the top 16 frequently used word for nature
last,17,"The rain stopped last night and I could go for a walk without getting wet.
We spent our first weekend at the lake for the summer last week.
I saw a beautiful eagle flying over my house last night.
I was walking last night and the sound the trees made blown by the wind made me happy.
I enjoyed the walk long around the neighborhood last night and looked at the night sky.
It has rained the last couple of days, and I just noticed my flower seeds are finally coming up!
I was so happy on the day that the last of the snow melted.
We got a huge snowstorm last night and all day today.","LAST MONTH I GOT A JOB AS ENGINEER.. I CAN IMPROVE MY CARRIER WELL|achievement
I made over $200 dollars investment in cryptocurrencies last week.|achievement
I discovered a new television show last night that I enjoyed great(""The Magicans"")|leisure
We went on vacation last week and took our grandson for the first time.|affection
I made a really good dinner for dinner last night.|achievement",'last' is the top 17 frequently used word for nature
able,16,"I took a hike and was able to climb and complete a mountain trail that was 2 miles uphill.
We had a nice, sunny day, and I was able to spend some time outside.
I was able to enjoy the good weather outside and while having a snack.
I was happy when spring finally arrived and I was able to plant my garden.
I was able to enjoy the sunshine for about an hour.
I was able to go outside and enjoy the sunshine after about a week of rainy weather.
Being able to finally sit outside without heavy cold winds and enjoy the sunshine
The weather is really nice today and im able to get a lot of overdue house work done
I was able to take a walk at a nice park. It was a nice day as well for the walk.
The weather is so nice I was able to open the windows and air out my house.","I was very glad when I was able to watch an ending to a movie yesterday.|leisure
My future wife and I were able to get the wedding location we wanted.|affection
I went to the grocery store and was able to find a product I've been looking for for a long time.|achievement
I spoke to my niece for the first time in a few weeks and was able to catch up with her.|affection
Now I am able to go without dress to my swimming class and that moment makes me feel happy.|enjoy_the_moment",'able' is the top 18 frequently used word for nature
felt,16,"The weather turned milder and it felt like spring!
It was 70 degrees out the other day, and it felt amazing to go for a walk in the park.
I felt really happy rock climbing in Joshua Tree.
Going out and feeling sun on my skin felt great.","My spouse surprised me with flowers the other day, I felt so loved and happy.|affection
WHEN I SHARE A HEART FELT MOMENT OF JOY AND LAUGHER WITH MY FAMILY AND FRIENDS.|affection
When I share a heart felt moment of joy and laughter with my family and friends.|affection
I felt exhilaration after finishing a particularly hard work out yesterday evening.|achievement
WHEN SOMEBODY COMPLIMENTS ME SINCERELY ON MY WORK, I FELT PROUD AND SUCCESSFUL.|achievement",'felt' is the top 19 frequently used word for nature
sunny,16,"It was sunny today and not raining. It rained the past several days
When I went for a hike on a trail on a sunny day and saw all the lovely wildflowers.
The weather was perfect yesterday; sunny, warm, and breezy.
We had a nice, sunny day, and I was able to spend some time outside.
Lunch hour wandering around Oxford on a warm, sunny day
I spent the Saturday outdoors where it was sunny.
It's a beautiful sunny warm day.","When i left work and it was sunny outside that made me happy.|enjoy_the_moment
I went for a run and exercised during a nice, cool, sunny evening|exercise
I had to a really good time walking my dog after my cousin left, it was sunny all day.|affection
Listened to Sunny & Gabe's new song ""Vacay"".|leisure
I woke up before my alarm goes off to a sunny day.|achievement",'sunny' is the top 20 frequently used word for nature
