word,size,eg,counter_eg,note
husband,378,"My husband and I went to Disneyland and had an amazing day.
MY HUSBAND BIRTHDAY CELEBRATED IN MY HOUSE
My happy moment was going out to dinner with my husband and son this week:
On Valentines Day my husband brought home a puppy.
My husband went shopping with me and was actually pleasant during the entire shopping trip.
My husband and I had sex!
My husband picked up pizza for dinner last night, and I didn't have to cook.
I was really happy last week when me and my husband visited Cheesecake Factory on date night.
My husband woke up for his night shift job and smiled at me.
more than time spent to my husband","My husband got a raise today of over $5,000 a year from his job company.|achievement
Me and my husband was finally able to afford a car after going 3 months without transportation.|achievement
Me and my husband went to the gym to burn off some calories.|exercise
My husband got a raise at his job.|achievement
My husband got a very nice evaluation from his boss.|achievement",'husband' is the top 11 frequently used word for affection
home,306,"I came home from a long weekend and spent time with my wife and dog!
After a long time, today my cousin came home surprisingly that made my day !
My new husband and I stayed in a 5-star hotel near home for a mini-honeymoon!
I came home to my parents
I hosted family Easter celebrations at my new home.
After a 19 hour car ride, I got back home from visiting family
I was happy when I came home from work and my girlfriend surprised me with a nice bottle of wine.
It's almost spring break, which means my husband is going to be home for a whole week!
I left my purse at home and my boyfriend came and brought it to me at work.
I have made friends with a very scared cat who had lost his home.","I was very happy to return home after a long day's work at the office.|enjoy_the_moment
I was happy when my friends got home|bonding
I don't have anything to do tonight, and I can stay home and relax.|enjoy_the_moment
ALL MY FRIENDS AND RELATIVES ARE CAME TO MY HOME FOR BIRTHDAY PARTY SO AT THAT TIME I FEEL HAPPY|bonding
I got rid of a pest infestation in my home.|achievement",'home' is the top 12 frequently used word for affection
last,282,"Coaching my daughter's last basketball game this year brought me joy.
Just got my mom a huge surprise for upcoming mothers day last night. Its all ready for Sunday.
My girlfriend completed her inscription to her last semester of Mechanical Engineering.
My son helped me cook dinner last night, and he enjoyed having an important role!
Last weekend, I went to a local seafood festival with my family.
I had sex last week with a girl I have been dating
My wife made me dinner last night.
My antisocial cat curled up and slept with me last night.
An event that made me happy in the last 3 months was seeing my sister have her baby.
I got to talk to my mother on the phone last night, we hadn't spoke in a while and it was needed.","Last night I went to book club and enjoyed the company of good friends.|bonding
I presented results for last month in a large meeting.|achievement
I SHOW THE MOVIE LAST WEEK.|leisure
I had dinner last night with a great friend that I had not seen in a while.|bonding
I finished my last final for the semester.|achievement",'last' is the top 13 frequently used word for affection
birthday,266,"I had my 30th birthday and my family came and visited to celebrate the day with me.
I WENT TO MY COSIN'S BIRTHDAY PARTY ON 13/4/2017
Seeing my foster kid celebrate his 5th birthday.
MY MOM'S BIRTHDAY CELEBRATION ON PAST MONTH I'LL CELEBRATED SO LOVELY WITH MY FAMILY
Celebrated my fathers birthday.
My girlfriend gave me a guitar for my birthday.
Spending my birthday with families in LA is awesome.
It was my son's birthday and we had a party for him.
I celebrated my older brother's birthday today, and we had a a great time with family.
An event that made me happy was celebrating my birthday with loved ones.","Yesterday it was the birthday of my friend. We celebrated it happily.|bonding
My friends threw me a birthday party.|bonding
My birthday was back in march and I loved hanging out with my friends!|bonding
I got many birthday wishes from friends for my birthday.|bonding
I celebrated my friend's birthday party.|bonding",'birthday' is the top 14 frequently used word for affection
first,265,"My son scored his first soccer goal.
My babys first doctors appoint today made me very happy that he is healthy.
my son threw me the ball for the first time.
Getting to see my parents for the first time in a while.
My youngest daughters first birthday party, this was an amazing day.
Buying my partner his first real watch.
I played badminton with my 7 year old daughter for the first time.
I spent a few hours with my family doing yard work on our first beautiful day of Spring.
I was elated when my second son giggled for the first time.
I was happy when my baby stood up for the first time yesterday.","I cleaned my room for the first time in a month.|achievement
I just got my first car two months ago and I love it.|achievement
Today i have made a delicious dessert on my own for the first time.|achievement
I ate at my favorite restaurant for the first time in a while.|leisure
my first day office experience
party with new friends
my first month salary|achievement",'first' is the top 15 frequently used word for affection
came,254,"My grandson came to meet me last week so I was happy
I came from church and my Dad wan't home. o Anxiety, yay.
I got to play with my little niece who came to visit from California.
My family came to visit me.
My girlfriend came back to me
My granddaughter came for a surprise visit.
Report cards came out at all my kids are doing great.
Relatives came to my house today, so I was so happy
My sister-in law came to my place after very long time.
I came home from vacation to see my very excited dog.","A friend of mine came over unannounced and surprised me with dinner that she had made.|bonding
Seeing all the healthy vegetation around my house when I came home yesterday.|nature
Realized that Prison Break came back to tv|leisure
My test results came back fine from an ultrasound.|achievement
A couple of friends came over and we watched Bad Boys 2.|bonding",'came' is the top 16 frequently used word for affection
dinner,245,"We enjoyed a fun family dinner out last night complete with chocolate fountain!
My brother promises me to take me out for dinner. I am happy about it.
I had dinner with my wife.
I felt happy last Sunday because my significant other made my favorite dinner.
My Husband brought home ingredients after work for dinner.
My happy moment was my husband making me dinner.
Went out to dinner with friends and family for my dads birthday.
My wife made me dinner last night.
My 3-year-old daughter wanted to have dinner just me and her out on our deck.
Taking my wife for dinner to the hotel.","I had cream of chicken soup for dinner. It made me feel a lot better because I have been sick.|enjoy_the_moment
I was happy when I ate free pizza for dinner that didn't cost me any money or time to prepare.|achievement
I attempted a new recipe for dinner and it tasted really good.|achievement
YESTERDAY I WENT TO DINNER WITH MY FRIENDS|bonding
My friends got dinner with me tonight.|bonding",'dinner' is the top 17 frequently used word for affection
see,244,"I came home from my parents house and my two cats ran to the door meowing and happy to see me.
I woke up to see my wife looing back and me and smiling.
My boyfriend came over, and my dog was really happy to see him.
I got to see my father who I hadnt seen in years.
I booked tickets to see my parents
My wife and I left today, to go down and see one of our daughters where she lives.
I scheduled a trip to see my daughter and got a cheap non-stop flight, which is a first.
Another happy moment would be when I got to see my little brother for his birthday
Seeing my wife's ultrasound made me real happy because I got to see my child.
I went with my family to see the blockbuster movie, after a gap of 1 year.","I SEE THE MOVIE LAST WEEK.|leisure
i went to see the waterfalls|nature
I was so happy to see that Gonzaga did well in their game today.|enjoy_the_moment
I see that I have pears on my tree when I didn't think there were any there.|nature
I recently just helped my friend build his PC. It made me very happy to see his happy face|bonding",'see' is the top 18 frequently used word for affection
new,241,"My uncle brought us really good bagels from New Jersey.
I was happy and excited when my girlfriend and I decided to try a new place to eat for lunch.
I heard that the new job my son has is finally working out great for him.
I got my new puppy, I was exited to get him I saved up for awhile to get him.
I got married in New Orleans and had a wonderful time with my wife.
Buying a new outfit for my oldest granddaughter made me happy.
I bought my mom a new phone. I feel happy when she's happy.
When my dad finally decided to buy  a new scooter for my sister.
i got a new dog
I went on a date with a new girl who I can't stop thinking about.","my favorite show came back on tv for a new season.|leisure
I got a brand new car!|achievement
I invested in a new stock with high potential|achievement
i was given a new responsibility at work|achievement
I bought a new oil which reduced my hair loss and it makes me happy|enjoy_the_moment",'new' is the top 19 frequently used word for affection
girlfriend,239,"My girlfriend told me that she had gotten the job she had applied for.
I watched my girlfriend play video games while I painted a scale model.
I spent a wonderful weekend househunting with my girlfriend in preparation for my new job.
My girlfriend made my favorite meal when I was having a bad day.
My girlfriend and I spent the day out and about.
I asked a girl that I had been dating to be my girlfriend, and she said yes.
My brother called to tell me that he got engaged to his girlfriend.
Last week my girlfriend and I went to see Chris Rock at the Fox Theatre in Detroit.
I enjoyed a nice, quiet dinner at home with my girlfriend.
I talked to my girlfriend today.","Saw my girlfriend after a long day of work.|bonding
i got a girlfriend|achievement
I had a nice chat with my ex and his girlfriend. We're getting along, and that's a nice change.|bonding
I met my friends new girlfriend that he seemed to be really happy about, which made me happy.|bonding
My girlfriend told me that she got the job she applied for|achievement",'girlfriend' is the top 20 frequently used word for affection
