word,size,eg,counter_eg,note
found,214,"Today I found a quarter on the ground, which to me is a lot of money to find on the ground.
I found a penny on the ground.
I found a dollar bill while waiting in line at the gas station
I found a new software that is helping me to earn more money.
I found out I got a job I had been wanting and had just applied for!
I just found out I got the job I wanted!
I found out that the problem with my car was minor and that it will not cost much to fix.
I found a lot of things I want to buy online.
I found a 20 dollar bill that was left somewhere in my drawer. I don't remember how it got there.
I found something I was looking for at the hardware store for a good discount.","I found a new show that I like and binge watched it.|enjoy_the_moment
I found out a friend that's been sick is going to be okay.|bonding
I was quite happy when I found a dollar bill on the ground|enjoy_the_moment
I found out I was pregnant with twins again, this will make baby #4 and #5 for us.|affection
i found a ridiculous nic cage movie on netflix to watch while sitting on the couch.|leisure",'found' is the top 11 frequently used word for achievement
today,214,"Today my student stood first in a competitive exam and I am very happy because of that.
I had work off today to do other errands!
My stock that is the biggest loser went up some today.
I received a new order for my business today.
Was able to buy my new iPhone today.
I had no traffic on the way to my job today after running late.
I finished the work project I was working on today.
I got a new amazon fire tablet today!
The conference call I was on today was really productive.
Something that made me happy today was buying a new bed.","my little girl had fun at the swimming pool today!|affection
I was happy to get a good workout in today.|exercise
My nieces were very happy to see me today when we picked them up from school!|affection
It made me happy that I had sex in the bathroom at work today.|enjoy_the_moment
Relatives came to my house today, so I was so happy|affection",'today' is the top 12 frequently used word for achievement
one,205,"I received my new phone after the last one was stolen.
Yesterday, my boss decided to upgrade my workstation to a much better one.
My previous manager offers me a job while I was actively looking for one.
i got 1000 likes to one of my facebook post, and i am looking forward to it.
Got to work on one of the bigger planes in school to get it ready to run
I went on a hike, one I knew to be hard and was able to finish it without stopping.
I bought one new car.
Being able to do well in my studies made me happy about one week ago.
I found a little extra money in one of my online accounts.
I was able to quit my old job and get a new one.","I went out driving with one of my friends|bonding
I saw and talked to one of my favorite former teachers.|bonding
I saw one of my old friends yesterday and he said that I look young.|bonding
I went outside with my friends for celebrating one of my friend purchased a new car.|bonding
It means when we get the desired one in our life, that is the most happiest women.|affection",'one' is the top 13 frequently used word for achievement
good,203,"I completed a major website that I was working on and got some very good reviews on the same.
I got good tips at work on Saturday.
I had been feeling sick for a couple of days, but I woke up feeling good today.
I had some very good ice cream two nights ago.
Played a few good shots in cricket after a very long time (like 2-3 years later).
When I received a good health report from the doctor, I was happy.
I received good feedback on an art series that I'm working on
Completing my anthropology 102 test and feeling pretty good about it.
My child has reported having a good week at school.
I got some test results back from the doctor that were good.","I finished a very good video game.|leisure
I got in some good quality gaming time with my friends and had some great laughs while doing it.|bonding
My really good buddy asked me if I would be a groomsman in his wedding next year.|bonding
I eat good food.|leisure
I watched a really good movie a few hours ago|leisure",'good' is the top 14 frequently used word for achievement
received,203,"I received a promotion at work and have a new job title.
I received a job offer for a company I like.
I received a $5 bonus on Mturk for submitting the best writing assignment.
I received a job interview for a company that I want to work for.
I received a job offer after being jobless for 4 weeks. That made me really happy!
When my first performance as a stand up comedian was well received.
I received a promotion at work that I had been working towards for a year.
I received my tax refund
I received three $1 bonuses from three different requesters I was not expecting to receive today.
Lots of people received their masters qualification today on mturk and I am happy for them.","I received a video game that I had been talking about from my girlfriend as a gift.|leisure
I received a surprise gift in the mail from my father.|affection
I received a phone call from my aunt.|affection
I received a birthday gift in the mail from a good friend of mine.|bonding
Found out that my child received a fully paid internship for the summer.|affection",'received' is the top 15 frequently used word for achievement
get,193,"I was so happy to get a call back for a job I applied for that I really want!
We got a big federal and state tax refund. I was able to get my Surface Pro
I was able to get my car fixed.
Yesterday I was accepted to an internship position that I was really hoping to get.
I was able to get a discount for some items I needed for my daughter. I saved about $10 total.
We found out we finally get to move into the apartment we've been waiting a year for.
I did not get hungover after drinking last night
I got to work out last night when I didnt think I would get to!
I helped a lost cat get back to its owner.
I got chores done to get my beach house rental ready.","I GOT A FRIEND TO HELP ME GET MY OLD JEEP RUNNING AGAIN AFTER 4 YEARS OF IT SITTING UP.|bonding
My husband did the dishes for me so I could go get a nice bath and relax for a bit.|affection
I found out I get to cat sit my favorite cat in two weeks.|affection
My happiest moment everyday my mom say bye to me when i get ready to go somewhere|affection
Meeting my idol, Mary Beard, and being able to talk to her afterwards, and get her advice!|bonding",'get' is the top 16 frequently used word for achievement
money,193,"A few days ago when I finally saved up enough money to buy my first car.
getting more money
I won money playing in a poker game.
Today I found a quarter on the ground, which to me is a lot of money to find on the ground.
I made more money today than I have in the past several weeks.
I GOT MONEY TO BUY MY NEW BIKE.
Won a price money of ten thousand
I paid all my bills this month without having to worry about money.
My stocks are making money today.
Getting my first fare with Lyft. I'm low on money right now and I only have a part time job.","My mother-in-law offered me money so I could buy some yogurt I can't afford to buy by myself.|affection
I received some birthday money today.|enjoy_the_moment
I received more money as a birthday gift than anticipated.|enjoy_the_moment
My boyfriend gave me some money.|affection
I helped my relatives by lending them some money.|affection",'money' is the top 17 frequently used word for achievement
first,180,"I made my first eBay sale today.
I bought lottery tickets for the first time in a few months.
I made my first loaf of banana bread and it turned out great.
I went to an improv class for the first time.
I signed a contract with my first photography client that was not a relative or friend.
i got my first website project
I finally signed up for an online Harvard course this weekend and began taking my first class.
Winning first in a gpp tourney in daily fantasy sports made me happy.
My little cousin hit her first home run at her softball game last week we are so proud of her
prepared food for the first time","I picked the first mint and radishes of the year from my garden.|nature
I got the news that my mom is going to try to visit for my first mothers day next month!|affection
My best friend's one year old daughter started walking and I got to see it for the first time.|bonding
I took my daughter to the beach for the first time|affection
I tried Filipino BBQ for the first time.|leisure",'first' is the top 18 frequently used word for achievement
day,175,"The day I completed paying my student loan
I got a phone interview for a job I am really excited for a day after applying.
The day my income tax return came in. I was excited to finally catch up on some lingering bills.
I was unusually productive on mTurk and had a big earnings day yesterday.
I had a good turk day on Saturday.
I had a meeting go very well at work the other day and received a client compliment.
Had an absolutely productive day at work.
I made really good money in tips one day at work.
I got extra credit and a good chunk of homework done, nice productive day
I made 5% in the stock market in one day.","My mother really loved the gift I got her for Mother's Day.|affection
We had an unexpected snow day in May, and that made me happy.|nature
I came home from work one day and I found out my wife was pregnant.|affection
I was happy when my partner joked around with me to cheer me up after a long day of work.|bonding
I had an incredible work day yesterday, making me happy.|enjoy_the_moment",'day' is the top 19 frequently used word for achievement
finished,174,"We finally finished our thesis project after months of stressful days.
I finished paying off my car.
I finished an assignment over a week early
Finished a project.
I finished my application to graduate school.
I finished spreading fertilizer on my lawn
I finished repainting something that was in need of repair.
I finished the story I was working on and published it and got good response to it
When I finished finals for this semester.  It was such a relief.
I finished house chores early.","My daughter finished her last day of school in Preschool.|affection
When I finished a 3 mile run.|exercise
I finished washing my car and making it glossy. It looks fantastic now.|enjoy_the_moment
I finished all my laundry and dishes early yesterday morning, so I had the whole day to relax.|leisure
My husband and I finished a craft project that we have been working on together.|affection",'finished' is the top 20 frequently used word for achievement
